game_id,home,away,total_home_EPA,total_away_EPA,season,home_win
401634766,Syracuse,Stanford,1.047128344273343,-1.047128344273343,2024,0
401634767,Miami,Virginia Tech,4.690134812342569,-4.690134812342569,2024,1
401634768,Virginia Tech,Boston College,13.052191305343536,-13.052191305343536,2024,1
401634769,Duke,Florida State,3.0444947539091167,-3.0444947539091167,2024,1
401634770,Pittsburgh,Syracuse,19.564708262074,-19.564708262074,2024,1
401634771,Boston College,Louisville,-22.730088836882338,22.730088836882338,2024,0
401634772,Georgia Tech,NC State,3.6432089972535158,-3.6432089972535158,2024,1
401634773,Wake Forest,California,-12.55505578387038,12.55505578387038,2024,0
401634779,UNLV,Syracuse,5.631570178900123,-5.631570178900123,2024,0
401635516,NC State,Stanford,13.077337192322767,-13.077337192322767,2024,1
401635517,Stanford,Louisville,-1.0627948692099292,1.0627948692099292,2024,1
401635518,Syracuse,UConn,4.241474431275071,-4.241474431275071,2024,1
401635525,Georgia Tech,Florida State,2.5160717731512143,-2.5160717731512143,2024,1
401635531,Boston College,Duquesne,48.70459523746969,-48.70459523746969,2024,1
401635532,Clemson,App State,26.25756310378534,-26.25756310378534,2024,1
401635533,Northwestern,Duke,-6.270393549719641,6.270393549719641,2024,0
401635534,Syracuse,Georgia Tech,5.405754673941672,-5.405754673941672,2024,1
401635535,Louisville,Jacksonville State,27.721222753616154,-27.721222753616154,2024,1
401635536,Miami,Florida A&M,43.06242285801994,-43.06242285801994,2024,1
401635537,North Carolina,Charlotte,-4.160859039195285,4.160859039195285,2024,1
401635538,Cincinnati,Pittsburgh,-4.481611597066423,4.481611597066423,2024,0
401635539,Stanford,Cal Poly,35.643177479261794,-35.643177479261794,2024,1
401635540,Virginia Tech,Marshall,24.78760282684001,-24.78760282684001,2024,1
401635541,California,San Diego State,15.516709641387095,-15.516709641387095,2024,1
401635542,Florida State,Memphis,4.572193218600079,-4.572193218600079,2024,0
401635543,Georgia Tech,VMI,40.923250984933496,-40.923250984933496,2024,1
401635544,Miami,Ball State,54.845251706599456,-54.845251706599456,2024,1
401635545,North Carolina,North Carolina Central,31.298341511758725,-31.298341511758725,2024,1
401635546,NC State,Louisiana Tech,14.744201778397354,-14.744201778397354,2024,1
401635547,Pittsburgh,West Virginia,6.511294304164178,-6.511294304164178,2024,1
401635548,Old Dominion,Virginia Tech,-10.347325621277172,10.347325621277172,2024,0
401635551,Florida State,California,6.505291566360269,-6.505291566360269,2024,1
401635552,Clemson,NC State,1.9627839158421032,-1.9627839158421032,2024,1
401635553,Middle Tennessee,Duke,-21.49650932545712,21.49650932545712,2024,0
401635554,Louisville,Georgia Tech,15.669310111448448,-15.669310111448448,2024,1
401635555,South Florida,Miami,-31.39398167104781,31.39398167104781,2024,0
401635556,North Carolina,James Madison,4.184043680706289,-4.184043680706289,2024,0
401635557,SMU,TCU,5.642989400736473,-5.642989400736473,2024,1
401635558,Coastal Carolina,Virginia,-12.222908896680547,12.222908896680547,2024,0
401635560,Boston College,Western Kentucky,4.158949234272331,-4.158949234272331,2024,1
401635561,Clemson,Stanford,23.74413603814773,-23.74413603814773,2024,1
401635562,Duke,North Carolina,7.254884986782286,-7.254884986782286,2024,1
401635563,SMU,Florida State,32.80674704614984,-32.80674704614984,2024,1
401635564,NC State,Northern Illinois,-1.4282775860497656,1.4282775860497656,2024,1
401635565,Syracuse,Holy Cross,28.412793401202723,-28.412793401202723,2024,1
401635567,Virginia,Boston College,1.0625946713233783,-1.0625946713233783,2024,1
401635568,California,Miami,-6.821696359366782,6.821696359366782,2024,0
401635569,Florida State,Clemson,-5.153944993076744,5.153944993076744,2024,0
401635570,Georgia Tech,Duke,9.185713690409557,-9.185713690409557,2024,1
401635571,Louisville,SMU,-1.6276780150908046,1.6276780150908046,2024,0
401635572,North Carolina,Pittsburgh,-11.658875300033204,11.658875300033204,2024,0
401635573,Stanford,Virginia Tech,-21.81156103851365,21.81156103851365,2024,0
401635574,NC State,Syracuse,5.285858204757356,-5.285858204757356,2024,0
401635575,Pittsburgh,California,0.3565097621010884,-0.3565097621010884,2024,1
401635576,Wake Forest,Clemson,-22.608901747393535,22.608901747393535,2024,0
401635577,North Carolina,Georgia Tech,-5.151885899405388,5.151885899405388,2024,0
401635578,Virginia,Louisville,-6.340712529964423,6.340712529964423,2024,0
401635580,SMU,Boston College,11.381065417711843,-11.381065417711843,2024,1
401635581,California,Syracuse,6.375150745372108,-6.375150745372108,2024,0
401635582,Pittsburgh,Clemson,6.643129803746018,-6.643129803746018,2024,0
401635583,North Carolina,Wake Forest,-0.4724783371493631,0.4724783371493631,2024,1
401635587,California,NC State,-17.272889478010885,17.272889478010885,2024,0
401635588,Clemson,Virginia,12.369123795247464,-12.369123795247464,2024,1
401635589,Louisville,Miami,-0.66254431970763,0.66254431970763,2024,0
401635590,Stanford,SMU,-26.668538989363743,26.668538989363743,2024,0
401635594,California,Oregon State,22.793379183732007,-22.793379183732007,2024,1
401635595,Duke,SMU,-10.277123120313393,10.277123120313393,2024,0
401635596,Miami,Florida State,19.56049839786529,-19.56049839786529,2024,1
401635597,Virginia Tech,Georgia Tech,5.419112299812321,-5.419112299812321,2024,1
401635598,Virginia,North Carolina,-22.865709131742015,22.865709131742015,2024,0
401635599,Stanford,Wake Forest,0.8726749342597925,-0.8726749342597925,2024,0
401635600,Clemson,Louisville,-14.594289915479433,14.594289915479433,2024,0
401635601,Miami,Duke,20.056169353650237,-20.056169353650237,2024,1
401635602,Florida State,North Carolina,-20.928134537141776,20.928134537141776,2024,0
401635604,Syracuse,Virginia Tech,6.003979941744114,-6.003979941744114,2024,1
